country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,1,0,0,0,1,0,0,9,0,0,0,0,3,2,2,2,2,2,0,0,3,0,4,4,13,0,5
Angola,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
Argentina,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,,,,,,,,
Burundi,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,1,0,1,0,2,1,2,0,3,2,0,0,0,0,0,0,1,1,1,5,0,1,0,0,1
Bahrain,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
Bosnia and Herzegovina,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,,,
Bolivia,,,,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,,,,,
Brazil,,,1,4,0,1,2,0,1,0,2,2,2,1,0,1,0,0,1,3,4,4,3,6,1,1,2,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,3,,
Canada,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,1,0,0,0,0,1,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,
"Congo, Dem. Rep.",,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,,,,
"Congo, Rep.",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Colombia,1,4,1,3,1,4,4,5,3,3,3,5,1,2,2,0,0,1,1,0,1,1,0,2,0,1,2,0,1
Costa Rica,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Dominican Republic,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,
Algeria,1,8,18,24,7,0,0,0,0,2,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,
Egypt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1,,,,,,
Eritrea,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Spain,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
United Kingdom,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Georgia,,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,
Guinea,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,
Gambia,,,,,,,,,,,,,1,0,0,0,0,1,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Guatemala,,,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Honduras,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2
Croatia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Haiti,,,,,,,,,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
Indonesia,,,,,1,2,0,0,0,0,0,1,0,0,1,0,0,1,3,0,1,,,,,,,,
India,2,2,1,1,2,7,0,0,1,1,1,1,2,0,1,0,4,1,1,2,2,4,2,1,2,4,5,0,2
Ireland,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Iraq,,,1,0,0,0,0,0,0,0,0,14,24,23,32,32,11,4,5,5,0,10,5,6,6,8,0,2,2
Japan,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cambodia,,,3,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,,,,,,,,
Lebanon,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,,,,,,,,
Libya,,,,,,,,,,,,,,1,0,0,0,0,0,5,0,1,1,1,3,0,1,1,
Sri Lanka,,,,,,,,2,1,0,0,0,3,2,1,5,2,3,,,,,,,,,,,
Lithuania,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
